district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Bishnupur,1359.65,433,3092.58,1283,187.90,29,1864.05,382
Chandel,91.05,9,123.16,27,215.79,61,1236.21,536
Churachandpur,464.53,38,687.98,158,4595.28,645,30834.48,6382
Imphal East,770.90,137,1754.08,538,702.93,92,7034.49,1218
Imphal West,2559.06,413,7039.13,1870,3669.24,452,30238.69,11111
Jiribam,58.65,7,292.78,48,11.80,2,229.27,80
Kakching,3359.57,578,11815.40,2939,364.80,46,1913.50,421
Kamjong,55.18,6,69.88,11,48.71,4,59.74,22
Kangpokpi,83.24,13,470.46,92,1140.57,150,4799.76,1193
Noney,53.84,5,85.59,16,382.45,68,2506.49,926
Senapati,130.00,9,214.33,42,1201.06,261,7928.17,2292
Tamenglong,0.00,0,22.17,3,793.72,78,10643.30,1908
Tengnoupal,182.54,23,362.67,70,581.19,104,2700.24,1320
Thoubal,247.57,80,1226.45,384,150.72,32,1056.90,239
Ukhrul,104.67,10,182.06,29,1902.92,261,12061.33,3222
