District,Rural No.,Urban No.,Male No.,Female No.,No. of Zero Balance A/C,Amt Depositsheldinthe A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,112529,27793,71005,83580,25102,5422.12,114077,97522,120293
Chandel,13010,0,5774,7234,5828,372.16,10482,7680,7793
Churachandpur,46243,30486,41097,48084,15186,3163.3,78238,59518,47094
Imphal East,85058,59204,88516,98324,34331,3179.98,105484,86402,108719
Imphal West,36490,121791,82502,110075,38790,1141502.56,157787,116357,129089
Jiribam,19556,0,8536,11253,7446,501,4536,4225,3256
Kakching,24648,23631,43943,60056,17769,1309.91,72213,61599,43970
Kamjong,1982,0,971,1010,66,70.26,2307,1460,552
Kangpokpi,13780,966,9812,9683,5933,3279.57,16291,12299,9228
Noney,8550,0,4508,4041,279,422.13,8675,7672,6571
Pherzawl,176,0,94,82,7,10.66,195,125,144
Senapati,42901,0,20417,23833,8343,1449.83,44788,28810,13349
Tamenglong,8740,916,17817,15434,11171,893.56,20600,15871,1920
Tengnoupal,8405,3735,7187,8596,3813,617.94,14729,10715,10120
Thoubal,65141,50311,72275,94007,22273,2677.97,130721,115144,104289
Ukhrul,15150,19710,31166,32469,16243,1804.72,52428,46030,30382
