District,Bank Name,Number of Operative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Bishnupur,BOB,315814,154959,180578
Chandel,BOI,40441,22545,19952
Churachandpur,BOM,248431,147023,130532
Imphal East,CAN,496446,279649,267249
Imphal West,CBI,835396,463520,502813
Jiribam,IND,70445,21145,24104
Kakching,IOB,162638,79969,88725
Kamjong,PNB,4874,1364,1913
Kangpokpi,PSB,48134,30852,38335
Noney,SBI,27875,12788,12568
Pherzawl,UCO,822,300,524
Senapati,UNI,176786,61728,70160
Tamenglong,Total,60672,21170,18725
Tengnoupal,AXIS,67516,31519,32036
Thoubal,BANDHAN,444556,173152,162327
Ukhrul,HDFC,102639,53377,57368
