District,Crop Loan No.,Amt,Farm Credit Others No.,Forestryandwasteland Dev No.,Water Resource No.,Farmmechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Agri. Infrastructure No.,Ancillaryy Activities No.,Total Agri No.
Bishnupur,634,980.7,210,0,0,0,0,14,39,0,2,899
Chandel,10,13.26,25,0,0,0,0,0,0,0,0,35
Churachandpur,717,494.7,249,0,0,0,0,19,0,0,6,991
Imphal East,190,1604,756,0,0,0,0,36,4,0,60,1046
Imphal West,262,3285,1336,0,3,2,0,372,104,2,356,2437
Jiribam,0,188.2,166,0,12,10,0,96,18,14,65,381
Kakching,128,302.5,96,0,0,0,0,3,50,0,13,290
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,276,105.9,1,0,0,0,0,1,1,0,0,279
Noney,126,122.8,13,0,0,0,0,8,0,0,18,165
Pherzawl,3,1.38,0,0,0,0,0,0,0,0,0,3
Senapati,215,111.3,258,0,0,0,0,1,0,0,0,474
Tamenglong,2,2.45,3,0,0,0,0,0,0,0,0,5
Tengnoupal,60,182.5,42,0,0,0,0,6,0,0,0,108
Thoubal,157,554.6,285,0,0,0,3,56,10,0,11,522
Ukhrul,32,105,112,0,0,0,0,11,0,0,22,177
