District,KCCsfor AH and Allied Activities No.,KCCsfor AH and Allied Activities Amt,Farm Production A/C,Farm Productionamt,Dairyno,Dairy Amt,Farm Mechanisationn No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries No.,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt
Bishnupur,119,178.52,0,0,1,2,0,0,2,10.88,38,55.38,0,0,0,0,0,0
Chandel,22,9.8,0,0,0,0,2,0.18,0,0,0,0,0,0,0,0,0,0
Churachandpur,167,5.64,0,0,12,19.11,1,0.2,1,1.6,0,0,0,0,0,0,11,11.79
Imphal East,228,178.65,0,0,2,3.61,13,34.68,36,38.87,5,3.89,0,0,1,0.02,80,253.55
Imphal West,228,151.8,0,0,3,3.65,3,15.21,84,179.75,42,57.38,0,0,2,1.39,634,1002.2
Jiribam,0,0,0,0,28,10.95,10,7.85,95,68.1,18,12.55,0,0,0,0,0,0
Kakching,37,26.26,0,0,0,0,0,0,1,1.96,37,5.5,0,0,0,0,2,3.15
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,4,11.79,0,0,0,0,0,0,0,0,4,10.04,0,0,0,0,5,3.81
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,287,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16
Tamenglong,7,1.51,0,0,3,4.5,0,0,1,1.5,0,0,0,0,0,0,5,8.83
Tengnoupal,18,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,56,20.02,0,0,2,10.55,2,0.3,27,48.82,7,33.91,0,0,0,0,60,98.48
Ukhrul,111,13.96,0,0,1,3,0,0,0,0,0,0,0,0,0,0,10,16.8
