district,NRLM OS NO,NRLM OS AMT,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM OS NO,NULM OS AMT,NULM NPA NO,NULM NPA AMT,PMEGP OS NO,PMEGP OS AMT,PMEGP NPA NO,PMEGP NPA AMT,SHG OS NO,SHG OS AMT,SHG NPA NO,SHG NPA AMT,SUI OS NO,SUI OS AMT,SUI NPA NO,SUI NPA AMT
Bishnupur,34,6.68,0,0,11,2.23,31,5.91,9,1.62,413,724.4,241,466.25,322,211.24,52,20.48,1,24.61,0,0
Chandel,1,0.07,1,0.07,0,0,0,0,0,0,72,81.42,20,29,6,0.86,0,0,0,0,0,0
Churachandpur,1,0.02,1,0.02,0,0,1,0.15,0,0,302,584.64,123,173.54,171,43.83,156,37.01,21,245.3,0,0
Imphal East,495,336.45,23,0.92,19,7.68,13,8.08,1,0.15,831,2688.86,295,863.13,363,324.67,34,31.9,38,366.5,1,14
Imphal West,65,56.37,0,0,7,2.24,56,42.14,4,3.77,855,2610.47,398,1059.39,373,265.38,80,66.76,120,1329,4,66.21
Jiribam,0,0,0,0,0,0,0,0,0,0,35,56.81,6,15.21,0,0,0,0,0,0,0,0
Kakching,0,0,0,0,0,0,0,0,0,0,178,287.59,50,105.3,55,33.93,21,8.35,9,145.1,2,16.48
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,62,223.88,1,3.65,19,11.89,0,0,5,5.77,0,0
Noney,1,1.19,0,0,0,0,0,0,0,0,0,0,0,0,86,72.13,30,13.85,1,21.37,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,220,379.81,43,65.78,54,60.41,0,0,28,296.9,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,216,281.44,96,115.84,1,2.91,0,0,0,0,0,0
Tengnoupal,114,88.51,4,0.06,0,0,1,0.57,0,0,42,43.51,11,12.45,46,76.88,1,0.31,2,31.74,0,0
Thoubal,174,141.22,0,0,7,2.15,52,46.63,0,0,442,828.25,106,195.24,373,266.2,92,32.12,15,74.2,0,0
Ukhrul,0,0,0,0,0,0,0,0,0,0,274,391.51,71,118.2,86,31.16,64,9.53,1,33.71,0,0
