district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total Mudra Disbno.,Total Mudra Disb Amt.
Bishnupur,2386,522.21,410,225.19,5,32.89,2801,780.29
Chandel,84,8.03,120,7.51,5,0.54,209,16.08
Churachandpur,185,46.22,192,583.64,40,313.92,417,943.78
Imphal East,2427,526.51,424,315.37,70,200.21,2921,1042.09
Imphal West,2805,722.98,796,1385.78,205,1247.7,3806,3356.46
Jiribam,1600,381.72,404,115,0,0,2004,496.72
Kakching,2141,562.75,503,252.41,12,43.88,2656,859.04
Kamjong,10,0.07,29,11.06,0,0,39,11.13
Kangpokpi,43,10.26,94,105.88,13,81.56,150,197.7
Noney,11,4.13,39,43.88,0,0,50,48.01
Pherzawl,4,0.02,4,0.04,0,0,8,0.06
Senapati,52,9.77,300,138.25,25,102.33,377,250.35
Tamenglong,7,2.28,8,18.67,22,15,37,35.95
Tengnoupal,103,20.91,74,53.71,2,8.5,179,83.12
Thoubal,2727,639.86,406,237.55,10,32.81,3143,910.22
Ukhrul,52,5.65,67,48.72,5,25.4,124,79.77
