District,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Othersunder MSMEs A/C,Othersunder MSMEs Amt,Total Msme No.,Total Msme AMT
Bishnupur,761,333.13,87,92.66,4,40.71,0,0,0,0,0,0,0,0,0,0,10,3.85,862,470.35
Chandel,183,16.98,40,3.34,1,3.18,0,0,0,0,0,0,0,0,0,0,0,0,224,23.5
Churachandpur,532,592.93,95,213.19,20,216.85,5,64.11,0,0,0,0,0,0,0,0,28,8.41,680,1095.5
Imphal East,1385,1115.98,145,203.61,78,1472.3,16,513.73,6,409.4,0,0,10,57.58,19,74.61,137,21.94,1796,3869.2
Imphal West,6317,5065.25,440,1608.4,1338,6922.3,109,2618.7,30,1758.1,6,333.7,7,29.01,17,36.47,397,892.9,8661,19265
Jiribam,2419,1075.24,0,0,64,24.28,0,0,0,0,0,0,0,0,0,0,24,2.98,2507,1102.5
Kakching,543,618.59,118,253.45,23,253.65,7,99.58,0,0,0,0,4,19.25,3,4.12,294,26.54,992,1275.2
Kamjong,34,5.91,11,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7.88
Kangpokpi,195,221.07,26,29.83,2,0,0,0,0,0,0,0,7,55.1,4,12,2,2.12,236,320.12
Noney,41,37.41,6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,41.81
Pherzawl,6,0.05,2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.07
Senapati,461,356.12,82,48.96,34,161.47,9,51.35,0,0,0,0,0,0,0,0,89,8.57,675,626.47
Tamenglong,46,34.76,0,0.07,1,0.84,0,0,0,0,0,0,0,0,0,0,3,0.64,50,36.31
Tengnoupal,204,99.9,27,18.81,1,2.63,0,0.88,0,0,0,0,0,0,0,0,1,1.55,233,123.77
Thoubal,678,403.45,166,205.69,13,132.05,2,51.57,1,100,0,0,3,15,0,0,0,0,863,907.76
Ukhrul,114,86.35,23,30.5,2,7.5,0,2.5,1,1.8,0,0,0,0,0,0,9,3.44,149,132.09
