District,No. ofkcc,Amount disbursed,Total No. ofkcc,Outstanding amount,Number Of Rupay Card,Card Activated,AH No. of KCC,AH Amount Disbursed,AH Total No. of KCC,AH Outstandingamount,AH Number Of Rupay Card,AH Card Activated,Fishery Total No. of KCC,Fishery Amount Disbursed,Fishery Outstandingamount,Fishery Number Of Rupay Card Issued,Fishery Card Activated
Bishnupur,427,233.71,4779,1927,4673,4648,4,0.88,203,134.41,9,9,29,19.35,184.58,27,27
Chandel,9,3.15,121,87.28,85,85,0,0,3,13.78,3,3,0,0,0,0,0
Churachandpur,600,269.41,2150,1148,2239,1353,2,0.56,30,75.02,30,30,0,0,43.75,6,6
Imphal East,165,303.79,5364,2886.4,3877,3310,9,3.91,19,20.73,16,16,3,2.41,9.84,1,1
Imphal West,475,451.19,9479,6166.5,5491,4660,203,142.86,215,185.45,214,214,34,8.76,57.38,28,28
Jiribam,0,0,68,26.81,32,25,0,0,0,0,0,0,0,0,0,0,0
Kakching,118,59.25,779,315.33,746,674,17,6.64,26,15.83,19,19,50,3,225.59,13,13
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,271,106.8,752,412.81,438,376,4,11.79,4,11.79,4,4,4,10.04,10.04,4,4
Noney,60,35.35,163,94.17,153,153,0,0,13,8.6,13,13,0,0,0,0,0
Pherzawl,3,1.38,3,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,189,96.5,2022,792.99,1252,934,0,0,1,3.54,0,0,0,0,0.16,0,0
Tamenglong,0,0,30,6.39,23,17,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,48,27.79,229,92.92,178,158,0,0,0,0,0,0,0,0,0.1,0,0
Thoubal,156,149.09,2833,1326.4,2361,2321,29,10.53,155,51.39,3,3,0,0,0,0,0
Ukhrul,30,23.25,407,310.85,346,338,0,0,3,3.2,2,2,0,0,0,0,0
