District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt
Bishnupur,294,254.54,487,285.83,4,0.5,3,0,0,0,0,0
Chandel,2618,1184.55,99,38.02,0,0,0,0,0,0,0,0
Churachandpur,5950,4307.83,120,110.46,2,12,3,18.61,0,0,0,0
Imphal East,1948,1900.05,978,752.19,3,10.25,2,1.5,0,0,0,0
Imphal West,3436,3583.15,1655,1351.65,5,3.16,18,48.3,0,0,7,450.25
Jiribam,114,76.97,174,88.93,0,0,0,0,0,0,0,0
Kakching,139,196.62,155,159.1,0,0,4,8.8,0,0,0,0
Kamjong,207,46.52,9,0.44,1,0,1,0,0,0,0,0
Kangpokpi,1065,675.59,35,31.25,0,0,0,0,0,0,0,0
Noney,955,758.28,4,0,0,0,1,0,0,0,0,0
Pherzawl,71,100.05,9,20,0,0,0,0,0,0,0,0
Senapati,7414,3734.3,68,57.84,8,14.42,3,4,1,0,0,0
Tamenglong,95,117.92,3,8,0,0,0,0,0,0,0,0
Tengnoupal,1420,1064.42,122,70.39,2,7,0,0,0,0,0,0
Thoubal,179,199.9,1930,1207.27,0,0,4,4.16,1,10.45,0,0
Ukhrul,1276,924.83,16,9.33,0,0,0,0,1,0,0,0
