district,ATM Rural,Semi-Urban,Urban,Total ATM,BRANCH Rural,Semi- Urban,Urban,Total Branch,BC Total,Fix,Other
Bishnupur,11,11,0,22,3,15,0,18,38,19,5
Chandel,4,1,0,5,4,0,0,4,5,5,1
Churachandpur,9,17,1,27,13,4,1,18,32,24,7
Imphal East,29,0,9,51,22,3,9,34,64,43,8
Imphal West,36,40,48,170,7,8,48,63,76,61,11
Jiribam,1,0,0,1,3,0,0,3,6,4,0
Kakching,1,7,0,10,0,7,0,7,28,19,2
Kamjong,1,0,0,1,1,0,0,1,2,2,0
Kangpokpi,6,0,1,6,6,0,1,7,8,7,0
Noney,1,0,0,1,3,0,0,3,4,3,0
PHERZAWAL,0,0,0,0,1,0,0,1,2,0,0
Senapati,11,7,0,18,14,0,0,14,17,16,2
Tamenglong,0,2,0,2,2,3,0,5,8,8,0
Tengnoupal,5,2,0,7,3,4,0,7,6,4,0
Thoubal,8,24,0,32,6,16,0,22,59,44,1
Ukhrul,4,3,0,7,3,3,0,6,12,12,0
