District,Agri PS NPA,Msme PS NPA,Other PS NPA,TOTAL
Bishnupur,513,1275,131,1919
Chandel,68,166,0,234
Churachandpur,812,385,70,1267
Imphal East,2825,1858,70,4753
Imphal West,8611,26863,390,35864
Jiribam,730,12541,4,13275
Kakching,311,287,7,605
Kamjong,0,78,0,78
Kangpokpi,111,51,3,165
Noney,136,96,0,232
Pherzawl,0,2,0,2
Senapati,523,454,99,1076
Tamenglong,25,146,13,184
Tengnoupal,74,211,3,288
Thoubal,587,806,75,1468
Ukhrul,153,276,47,476
