district,Sanctioned No,ofwhichgirlstudent Sanctioned No,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No,Disb. Amt,ofwhichgirlstudent Disb Amt,OS No,ofwhichgirlstudent OS No,OS amt,ofwhichgirlstudent OS Amt
Bishnupur,0,0,0,0,3,1,14,1.87,22,1073,82.83,25.65
Chandel,0,0,0,0,1,1,1.14,1.14,10,7,22.81,17.48
Churachandpur,0,0,0,0,1,0,3,0,45,18,96.64,34.41
Imphal East,2,1,26.95,7.5,21,9,116.75,38.2,177,75,786.59,343.94
Imphal West,9,6,58.15,54.65,55,31,229.2,144.66,449,203,2076.95,975.58
Jiribam,0,0,0,0,0,0,0,0,1,1,0.55,0.55
Kakching,2,0,2.41,0,3,0,3.98,0,16,6,34.7,10.02
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,1,42,42,2,2,22.07,22.07,3,2,23.29,22.07
Noney,1,1,7.14,7.14,1,1,7.14,7.14,1,1,7.14,7.14
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,1,1.12,0.61,15,9,65.05,34.22,68,38,260.45,134.66
Tamenglong,0,0,0,0,0,0,0,0,5,3,10.09,3.97
Tengnoupal,0,0,0,0,0,0,0,0,2,0,4.49,0
Thoubal,1,1,13.97,13.98,2,2,23.58,23.58,20,5,67.72,33.68
Ukhrul,0,0,0,0,0,0,0,0,6,3,16.24,7.67
