District,Disb No.,Disb Amt,OS No.,OS Amt
Bishnupur,28,27.8,207,76.09
Chandel,0,0,0,0
Churachandpur,2,9.5,62,73.39
Imphal East,660,449.42,3792,1534.02
Imphal West,322,149.34,5648,1627.89
Jiribam,0,0,0,0
Kakching,24,13.62,77,21.86
Kamjong,0,0,0,0
Kangpokpi,34,39.5,34,32.2
Noney,0,0,0,0
Pherzawl,0,0,0,0
Senapati,0,0,95,25.2
Tamenglong,0,0,0,0
Tengnoupal,0,0,0,0
Thoubal,12,24.55,417,592.24
Ukhrul,0,0,30,29.18
