District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,1355.67,28376.73,0,29732.4,2128.6,27883.3,0,30011.9,157,98,,101
Chandel,14357.69,0,0,14357.69,11455.15,0,0,11455.15,80,,,80
Churachandpur,34323.77,42729.54,3502.51,80555.82,20995.71,22227.94,1817.38,45041.03,61,52,52,56
Imphal East,96041.75,8308.19,117191.37,221541.31,54700.8,4476.31,58445.66,117622.77,57,54,50,53
Imphal West,17107,29991.58,533132.87,580231.45,16911.9,39558.19,302666.07,359136.16,99,132,57,62
Jiribam,5065,0,0,5065,1001,0,0,1001,20,,,20
Kakching,0,15049.83,0,15049.83,0,17636.49,0,17636.49,,117,,117
Kamjong,864.14,0,0,864.14,1308.6,0,0,1308.6,151,,,151
Kangpokpi,11008.56,0,0,11008.56,7893.01,0,0,7893.01,72,,,72
Noney,2650.81,0,0,2650.81,2950.87,0,0,2950.87,111,,,111
Pherzawl,96.8,0,0,96.8,991.85,0,0,991.85,1025,,,1025
Senapati,48858.51,0,0,48858.51,34673.65,0,0,34673.65,71,,,71
Tamenglong,1400.54,13395.47,0,14796.01,40.85,3688.3,0,3729.15,3,28,,25
Tengnoupal,5078.79,7928.12,0,13006.91,6824.76,3561.83,0,10386.59,134,45,,80
Thoubal,5003.09,43768.78,0,48771.87,3212.66,37796.01,0,41008.67,64,86,,84
Ukhrul,4215.97,19117.31,0,23333.28,1651.21,7062.71,0,8713.92,39,37,,37
