district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Out of Farm Credit Total Alied No,Out of Farm Credit Total Allied Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total No,Agri Total Amt.
Bishnupur,4939,1948.16,2629,4357.16,1349,2022.08,12,37.85,267,69.19,7847,6412.36
Chandel,120,87.03,49,53.23,37,28.3,0,0,0,0,169,140.26
Churachandpur,1680,872.27,1877,1889.31,474,589.87,0,0,1,0.26,3558,2761.84
Imphal East,5167,2777.94,3267,4939.53,1059,1207.49,8,11.18,930,1009.03,9372,8737.68
Imphal West,9904,6291.79,6929,16168,1927,4694.15,23,19.23,1788,1932.97,18644,24411.99
Jiribam,67,21.79,296,108.42,94,259.38,9,3.6,640,343.78,1012,477.59
Kakching,765,289.19,820,1155.26,824,858.17,13,7.88,17,49.45,1615,1501.78
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,585,279.68,60,92.79,39,58.51,0,0,1,1.5,646,373.97
Noney,163,94.15,137,119.58,97,38.05,0,0,33,21.76,333,235.49
PHERZAWAL,3,1.38,0,0,0,0,0,0,0,0,3,1.38
Senapati,1714,938.02,478,363.34,274,127.08,0,0,3,17.85,2195,1319.21
Tamenglong,26,4.73,50,61.27,10,8,0,0,0,0,76,66
Tengnoupal,218,408.18,649,722.12,24,4.99,0,0,3,31.69,870,1161.99
Thoubal,2482,1020.46,5156,4713.38,431,400.33,10,4.45,256,119.88,7904,5858.17
Ukhrul,415,312.52,325,338.8,295,423.02,0,0,27,35.23,767,686.55
