District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,564758,15787.32,134930,2771.05,0,0,39531,4653.52,55231,4009.6,0,0
Chandel,159927,3484.32,0,0,0,0,0,0,3935,130.08,0,0
Churachandpur,20742815,1155949.35,2655,83.19,2,0.01,6629932,1816620.8,40131,1506.86,0,0
Imphal East,49709854,20897932.95,124905,2847.19,61,5.75,6653281,75193103,153677,41332033.42,2,1020
Imphal West,97956794,150718044.7,67283,71513968.4,251,33.96,26833876,365600625,446824,509200987.2,0,0
Jiribam,56,4,36,3,17,2,786,63,10812,324,0,0
Kakching,268546,6465.62,62425,1451.64,13,2.4,4382,597.72,24199,1022.74,0,0
Kamjong,22926,544.42,0,0,0,0,0,0,0,0,0,0
Kangpokpi,152233,6407400.27,15,5.02,0,0,3353,39610827,10082,16551598.03,0,0
Noney,56790,1527.3,6430,177.48,0,0,2029,133.23,2851,105.87,0,0
Pherzawl,2296,43.36,0,0,0,0,0,0,0,0,0,0
Senapati,22330596,1019046.42,10,1,12,2.48,4332823,1167421,16045,807.44,0,0
Tamenglong,35824,539.03,23,3,8,2,2219,352.25,1380,227.34,0,0
Tengnoupal,142860,367328.92,2249,76.15,2,0.3,2124,2529584.4,9275,714195.43,0,0
Thoubal,53954603,2496735.83,147118,2749.14,53,6.87,7814830,1980706.6,79377,2887.55,0,0
Ukhrul,180889,4110.09,2558,58.96,3,2,1528,341.52,14913,880.68,0,0
