District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursedunder PMAY No.,Current Year Disbursedunder PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,302,3223.18,117,2478.39,2,21,15,196,0,0,15,196
Chandel,55,536.32,43,900.37,72,1183.01,0,0,0,0,0,0
Churachandpur,426,4223.27,269,6491.69,129,1875.97,67,684.31,2,23.41,67,666.41
Imphal East,821,8229.01,335,7852.42,331,6271.13,101,1144.25,0,0,101,1144.25
Imphal West,2612,26629.1,1211,26754.31,61,1189.75,673,6988.23,9,69.97,664,6673.15
Jiribam,0,0,1,3.25,0,0,1,3.25,0,0,1,3.25
Kakching,202,1725.81,117,2759.96,15,156.76,46,413,1,15.5,47,416.76
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,33,370.62,19,607.04,146,2663.29,0,0,0,0,0,0
Noney,0,0,1,21.37,1,21.37,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,131,1735.48,223,5006.25,227,4372.83,1,13.31,0,0,1,13.31
Tamenglong,2,38.14,2,36.18,0,0,4,74.32,0,0,4,74.32
Tengnoupal,47,620.69,29,718.81,50,905.94,12,147.25,0,0,12,147.25
Thoubal,287,3731.34,114,2502.78,1,21.2,65,672.31,0,0,65,653
Ukhrul,11,82.2,4,72.56,0,0,2,45.03,0,0,2,45.03
