District,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary
Bishnupur,0,0,0,0,0,0,0,0,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,0,0,0
Imphal East,0,0,0,0,0,35,25.72,260,35,25.72,260
Imphal West,0,0,0,0,0,6,6,60,6,6,60
Jiribam,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,0,0,0,4,3.16,40,4,3.16,40
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,10,11.5,100,10,11.5,100
Ukhrul,0,0,0,0,0,0,0,0,0,0,0
