District,Bank Name,CY Sanction A/C No.,CY Sanction Amt,Disbursed A/C,CY Disbursed Amt
Bishnupur,BOB,1,1,1,0.45
Chandel,BOI,1,2.85,9,13.77
Churachandpur,BOM,7,47.72,6,14.81
Imphal East,CAN,29,148,25,83.67
Imphal West,CBI,27,174.63,27,108.18
Jiribam,IND,18,19,18,15
Kakching,IOB,5,33.1,5,15.5
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,5,23.75,5,23.75
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,17,29.16,18,27.03
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,3,2.46
Thoubal,BANDHAN,17,74.45,16,44.7
Ukhrul,HDFC,2,1.34,0,0
