District,Inactive BC,Rupay Card Active in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card Issued in KCC
Bishnupur,0,111164,34669,155901,4633
Chandel,0,9064,7687,16954,84
Churachandpur,4,69468,50325,115057,1198
Imphal East,2,138435,54325,204031,5125
Imphal West,3,186348,79837,333520,9251
Jiribam,0,9554,63,8554,85
Kakching,0,49950,22887,67675,891
Kamjong,0,2168,2168,1811,0
Kangpokpi,0,12281,12078,16589,209
Noney,0,8131,3390,7816,153
Pherzawl,0,301,301,343,0
Senapati,2,40699,34670,57486,933
Tamenglong,0,19319,1817,15313,159
Tengnoupal,0,12755,7313,20301,153
Thoubal,2,129083,60985,148861,2406
Ukhrul,0,36879,16893,32501,379
