District,Smalland Marginal Farmers No.,Smalland Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,womenbeneficiaries No.,womenbeneficiaries Amt,Minoritycommunities No.,Minoritycommunities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt
Bishnupur,5434,2861.59,213,248.12,188,463.38,7,16.04,462,342.46,3559,1315.88,675,611.57,490,21.64,43,36.33
Chandel,120,87.03,3,1.27,375,523.01,0,0,6,0.86,113,119.32,667,1127.21,11,0.5,45,36.75
Churachandpur,1866,1270.39,18,25.74,3570,6536.81,0,0,174,45.6,1320,583.5,4713,9803.77,4,0.03,253,375.27
Imphal East,5110,3578.09,172,384.59,630,1199.66,7,10.91,352,321.3,8782,4593.04,2342,2491.87,56,1.42,3020,1708.51
Imphal West,10434,13318,2335,3684.8,5315,9203.85,11,6.52,380,279.56,12569,6727.12,9626,19755.62,477,10.58,11673,5750.51
Jiribam,75,1023,642,330.65,613,802.93,0,0,0,0,2712,1129.08,159,301,0,0,2723,2255.92
Kakching,1224,1624.35,1613,3447.1,167,376.07,0,0,171,111.42,1040,962.26,685,1429.2,49,0.51,161,259.97
Kamjong,0,0,0,0,0,0,0,0,0,0,51,15.58,112,99.83,0,0,18,5.7
Kangpokpi,332,197.56,61,149.8,624,1314,0,0,111,75.83,172,150.19,446,824.81,0,0,14,18.8
Noney,430,273.57,0,0,413,265.18,0,0,86,72.13,379,265.55,782,615.2,0,0,0,0
Pherzawl,3,1.38,0,0,0,0,0,0,0,0,2,0.79,11,9.9,0,0,0,0
Senapati,1867,1468.25,69,138.33,1339,2250.05,11,15.95,170,169.43,1200,762.16,3519,6517.08,9,0.07,177,276.16
Tamenglong,299,244.47,56,90,1519,2578.98,23,2.95,7,6,364,289.75,1342,2544.77,0,0,155,356.6
Tengnoupal,396,318.66,57,116.36,680,898.38,0,0,27,18.24,452,247.53,1038,1268.79,15,0.3,157,69.6
Thoubal,4344,3299.95,503,616.09,211,399,0,0,384,329.52,4848,2020.87,2274,1715.61,181,2.09,388,710.3
Ukhrul,660,682,56,85,2110,3767.65,0,0,137,46.01,446,343.19,2231,3729.72,12,0.5,100,129.01
