District,Enrolmentunder PMJJBY,eligiblecasesunder PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligiblecasesunder PMSBY,renewalsunder PMSBY,Enrolmentunder APY
Bishnupur,2462,45119,1944,9107,72434,4811,1174
Chandel,528,12414,502,1444,20906,1347,75
Churachandpur,3221,87167,12727,6712,126994,8876,1367
Imphal East,7413,120775,11943,24415,172799,14730,3164
Imphal West,10191,214185,22762,33427,311698,27246,4901
Jiribam,356,14423,200,536,14400,512,243
Kakching,3451,35386,2262,9978,49058,8972,1071
Kamjong,16,2179,14,193,3679,67,10
Kangpokpi,751,17909,672,1914,30654,1713,372
Noney,326,4169,181,1103,6439,511,119
Pherzawl,1,463,0,24,690,3,0
Senapati,1804,69839,1183,5105,103331,4249,568
Tamenglong,1148,15045,5207,2424,13586,1892,352
Tengnoupal,2274,18463,561,3049,24970,3535,174
Thoubal,2686,62228,12200,11171,86945,7084,1093
Ukhrul,588,18954,610,1289,28174,2863,206
