district,Kurung Kumey,(Rs. in lakh)
1.0,1.0,76.29898294729138
10.0,1.0,22.312531320419993
102.0,,
103.0,,
11.0,2.0,48.98146266372053
12.0,1.0,74.97666129169143
13.0,1.0,27.91192910122627
14.0,3.0,47.38166656389812
15.0,59.0,25.572480907970487
16.0,2.0,43.30121129915454
17.0,4.0,36.86381016625256
18.0,2.0,59.10365321829733
19.0,1.0,12.062417602750815
2.0,3.0,13.053563980331758
20.0,5.0,14.400864710961134
21.0,1.0,0.0
22.0,1.0,32.443383004641134
23.0,1.0,0.0
24.0,1.0,0.0
25.0,29.0,28.138973227261065
26.0,189.0,27.383276636196225
3.0,1.0,13.455386114300202
4.0,5.0,40.314735198442705
5.0,1.0,20.49039993959788
6.0,8.0,54.70158936271307
7.0,8.0,19.62440712609169
8.0,5.0,56.500616401630815
9.0,6.0,11.820707904722404
ACB,123.0,25.52268494489332
Anjaw,2.0,14.61763409846573
BANK WISE SUMMARY,,
Changlang,9.0,17.951359095150742
DISTRICT,Bk. Br. No,CD ratio
DISTRICT WISE SUMMARY,,
Dibang Valley,2.0,20.842446667714484
East Kameng,4.0,57.409947158242915
East Siang,17.0,26.17131139677414
Kra Daadi,1.0,21.62529202200871
Kurung Kumey,4.0,27.798109560852716
Lohit,6.0,30.300248084084856
Longding,3.0,26.272237532091033
Lower Dibang Valley,6.0,20.33475477123862
Lower Subansiri,11.0,41.7851510408094
Name of the District :,Anjaw,
Name of the District:,Papumpare,
Namsai,8.0,23.92623808423828
Papum Pare,56.0,30.523496947925054
Siang,4.0,10.158731405104689
Sl.No.,No. of Br,C.D.Ratio
Tawang,9.0,8.570184532056738
Tirap,4.0,25.6653855915509
Upper Siang,7.0,21.01275870319157
Upper Subansiri,7.0,39.949488130459144
West Kameng,13.0,18.039876442871815
West Siang,16.0,29.691574289510424
