District,Bank Name,Target,Application Received,Sanctioned Number,Sanctioned Amt,Disbursed Number,Disbursed Amt,Pending Sanction,Pending Disbursement,Returned/Rejected,Received,Sanctioned,Disbursed
Anjaw,CAN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Changlang,BOI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Dibang Valley,CBI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
East Kameng,SBI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
East Siang,ICICI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Kurung Kumey,PNB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Lohit,BOM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Longding,BOB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Lower Dibang Valley,HDFC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Lower Subansiri,OBC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Papum Pare,UCO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tawang,UBI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tirap,AXIS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Upper Siang,IND,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Upper Subansiri,IOB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
West Kameng,SYN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
West Siang,IDBI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
