district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,119.93,37,103,231.06,100.28,91.25,57,26.71,341.68,152,28.12,360,1154
Dimapur,656.48,238,333,707.17,365.94,185.62,140,13.93,1332.85,555,122.43,448,2138
Kiphire,28.60,18,80,88.14,138.69,35.23,23,38.07,92.53,92,12.86,310,1001
Kohima,155.17,65,125,178.22,528.26,73.85,59,18.17,406.39,322,204.74,447,2350
Longleng,46.79,33,1,1.75,47.09,0.00,0,0.00,48.24,53,47.38,356,338
Mokokchung,598.98,198,482,804.83,397.70,203.52,184,17.38,1171.27,687,69.43,492,2286
Mon,104.62,45,215,241.29,486.99,38.42,51,18.01,213.31,212,356.04,996,2283
Niuland,319.42,79,316,637.79,165.31,195.81,104,25.38,771.49,399,4.96,90,1113
Noklak,1.00,1,0,0.00,16.09,0.00,0,0.00,0.72,1,16.09,179,179
Peren,57.45,32,24,45.74,76.53,8.30,7,4.96,167.23,119,23.09,165,678
Phek,133.97,37,144,176.44,389.34,38.68,41,11.31,341.87,263,218.22,798,2107
Shamator,36.11,38,8,17.12,23.64,0.00,0,0.00,39.63,36,40.55,210,162
Tseminyu,6.60,5,5,6.60,308.93,4.21,4,14.84,28.36,30,269.14,322,659
Tuensang,155.60,68,85,87.89,348.33,15.42,30,6.96,221.55,176,162.32,716,2017
Wokha,311.86,111,140,270.77,206.28,26.14,43,5.77,452.85,269,92.24,330,1048
Zunheboto,59.98,30,102,95.75,399.79,36.81,33,26.38,139.54,145,296.09,590,1333
