district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,13.00,3,6.87,7,0.00,0,0.00,46.60,24
Dimapur,423.05,155,1.52,27,6.48,8,1.65,391.59,207
Kiphire,19.27,16,8.34,8,1.50,3,3.73,40.18,43
Kohima,111.17,60,9.92,14,5.89,7,3.58,164.71,177
Longleng,8.76,9,0.67,5,0.00,0,0.00,16.21,26
Mokokchung,602.79,172,13.92,10,15.04,19,3.30,455.93,281
Mon,143.85,86,0.53,6,6.43,8,3.81,168.84,187
Niuland,120.67,48,14.87,5,0.00,0,0.00,141.43,85
Peren,440.00,113,3.44,17,0.00,0,0.00,685.28,220
Phek,89.80,35,3.52,13,1.40,2,0.92,152.91,78
Shamator,39.00,35,0.00,0,0.00,0,0.00,30.80,35
Tseminyu,4.00,3,0.11,2,0.00,0,0.00,12.00,6
Tuensang,6.50,4,0.14,2,1.60,1,13.51,11.84,18
Wokha,158.53,64,0.81,11,4.40,4,2.25,195.75,133
Zunheboto,52.24,22,0.00,0,1.90,3,2.76,68.93,63
