district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,44.18,3,1208.16,219,0.00,0,222.90,47,12.75,2,1487.99,271,0.00,0
Dimapur,658.97,25,16863.38,7366,341.80,34,4143.57,697,171.52,22,22179.24,8144,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,9.82,7,0.38,1,10.20,8,0.00,0
Kohima,386.78,13,9186.28,3594,0.00,0,1808.42,261,3.92,2,11385.40,3870,0.00,0
Longleng,0.00,0,51.55,14,0.00,0,95.11,18,0.00,0,146.66,32,0.00,0
Mokokchung,12.18,2,1010.51,746,0.00,0,101.40,23,0.00,0,1124.09,771,0.00,0
Mon,7.16,1,1941.01,421,0.00,0,196.11,67,0.00,0,2151.59,492,7.31,3
Niuland,0.00,0,217.98,91,0.00,0,0.00,0,0.00,0,217.98,91,0.00,0
Noklak,10.00,1,0.00,0,0.00,0,3.00,1,0.00,0,13.00,2,0.00,0
Peren,16.11,3,0.00,0,0.00,0,2.53,5,0.68,1,19.32,9,0.00,0
Phek,0.00,0,138.46,48,0.00,0,14.88,5,12.90,1,166.24,54,0.00,0
Shamator,0.00,0,111.00,57,0.00,0,48.07,8,0.00,0,159.07,65,0.00,0
Tseminyu,0.00,0,0.00,0,0.00,0,168.22,47,0.00,0,168.22,47,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,46.06,12,0.00,0,46.06,12,0.00,0
Wokha,0.00,0,816.03,390,0.00,0,68.59,10,0.00,0,884.62,400,0.00,0
Zunheboto,0.00,0,720.19,169,0.00,0,11.59,6,0.00,0,731.78,175,0.00,0
