district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,4161,4114.18,63,590.70,14021065,322408.57,95259,5215.22,81260,461281.48,360881,16853.16
Dimapur,11188,8085.05,1137,332.26,32838860,1009212.39,700393,39130.37,730838,3957629.10,745749,35464.37
Kiphire,0,0.00,24,21.89,2057467,40050.98,6812,484.60,57,0.81,52696,2982.77
Kohima,5672,2898.56,322,114.20,16143796,482640.36,310717,19140.46,132685,2119410.59,595196,30067.60
Longleng,0,0.00,13,7.97,1393282,26663.44,235,10.55,30,0.38,38541,2050.98
Mokokchung,760,493.29,7,0.66,7625794,189936.68,133071,6335.50,35856,190701.01,249381,14046.95
Mon,188,35.41,101,299.02,5627329,115014.08,25632,1641.92,6949,154872.26,134385,6233.52
Niuland,6,0.14,6,6.86,626850,9438.86,6836,444.17,4,0.03,10434,504.55
Noklak,0,0.00,1,0.01,610299,10734.48,46,1.29,0,0.00,19654,848.64
Peren,0,0.00,34,33.67,2718425,45600.67,6445,339.23,756,51.39,60461,2840.34
Phek,0,0.00,13,7.80,3869871,84929.46,18610,700.49,15,0.18,94886,4747.62
Shamator,0,0.00,10,3.81,287406,6681.35,1480,26.99,2,0.02,5258,233.18
Tseminyu,0,0.00,0,0.00,943287,16268.97,14192,539.12,5867,929.00,29066,1512.50
Tuensang,0,0.00,7,6.72,3702610,78130.40,14190,835.76,11,0.30,93749,4848.29
Wokha,835,562.31,32,10.13,5018546,132301.13,33983,1721.96,12541,170925.00,113686,5730.88
Zunheboto,195,68.65,4,1.07,3357074,74775.58,14216,1415.76,809,141087.68,110350,6244.74
