district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,65457,10178,413,10189,565
Dimapur,171899,22648,884,37449,1314
Kiphire,23174,6436,5,6436,755
Kohima,105714,12337,334,14886,711
Longleng,16806,7320,1,7475,65
Mokokchung,79290,12124,522,8796,1149
Mon,77403,22944,184,23573,420
Niuland,9942,893,0,1101,298
Noklak,6502,1945,2,1945,10
Peren,22897,6145,371,6145,1246
Phek,45144,6922,0,7216,1033
Shamator,2861,1841,0,2199,43
Tseminyu,8555,1035,4,831,78
Tuensang,29258,14787,1,14787,367
Wokha,41568,7329,115,6872,465
Zunheboto,35097,6358,1,6845,525
