district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,35425.18,51726.93,291.30,76.82,78.72,,46112.06,65708.81,0.00,78.20,87443.41,111820.87
Dimapur,21585.27,66266.01,296359.86,71.09,161.74,55.00,30363.75,40971.94,538867.76,62.96,384211.14,610203.45
Kiphire,3963.61,13817.30,11.24,118.70,152.91,,3339.12,9036.47,0.00,143.77,17792.15,12375.59
Kohima,17321.98,190193.58,781.35,42.07,27.35,,41176.78,695381.21,0.00,28.28,208296.91,736557.99
Longleng,12184.25,110.82,0.45,152.13,,,8009.32,0.00,0.00,153.52,12295.52,8009.32
Mokokchung,26778.22,58336.63,130.58,82.08,90.76,,32623.65,64275.21,0.00,87.97,85245.43,96898.86
Mon,16671.50,22608.50,32.39,102.73,88.12,,16228.78,25656.25,0.00,93.86,39312.39,41885.03
Niuland,5448.54,2329.07,33.32,49.23,28.37,,11068.37,8209.46,0.00,40.52,7810.93,19277.83
Noklak,3046.52,90.13,68.09,50.17,68.17,,6072.45,132.22,0.00,51.65,3204.74,6204.67
Peren,22189.90,1102.83,63.62,161.49,58.88,,13741.15,1872.93,0.00,149.59,23356.35,15614.08
Phek,13655.23,19372.09,4561.96,75.20,88.27,,18158.92,21946.50,0.00,93.73,37589.28,40105.42
Shamator,2786.56,0.00,0.00,129.01,,,2160.01,0.00,0.00,129.01,2786.56,2160.01
Tseminyu,7603.45,612.28,0.00,101.76,31.99,,7471.86,1913.78,0.00,87.54,8215.73,9385.64
Tuensang,5666.66,30533.70,0.00,128.87,143.09,,4397.13,21339.51,0.00,140.66,36200.36,25736.64
Wokha,8863.00,27237.87,3.92,83.98,87.46,,10553.21,31143.50,0.00,86.59,36104.79,41696.71
Zunheboto,11643.81,29068.08,73.49,73.38,175.18,1224.83,15868.72,16592.89,6.00,125.62,40785.38,32467.61
