district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1043.50,11344,8599,9733,16348,1717,6220,7858,19943,11529
Dimapur,3076.77,51183,40776,62440,75641,23187,33397,11715,91959,86668
Kiphire,542.92,8363,7437,9946,12481,1505,4219,5887,15800,9918
Kohima,1047.68,13551,9439,15668,18400,8593,9074,13804,22990,9656
Longleng,489.18,8642,7340,11923,19725,442,6594,15982,15982,0
Mokokchung,1558.42,17512,16490,20458,24834,13414,3949,14995,34002,12524
Mon,1966.43,26368,25555,31678,39771,9913,20336,21539,51923,30393
Niuland,128.03,2115,1636,2889,2048,399,492,3640,3751,112
Noklak,149.71,2700,2592,2004,5012,13,1166,5292,5292,0
Peren,603.14,9157,7085,9502,15882,359,4434,16222,16242,22
Phek,1340.08,12886,10656,15597,19722,2587,4754,12064,23542,11484
Shamator,166.78,2317,1991,1977,3813,403,1253,4296,4308,12
Tseminyu,151.51,1512,881,1738,1978,361,521,2306,2393,87
Tuensang,789.70,14277,13821,10307,25412,1863,11471,3907,28098,24195
Wokha,628.15,9567,5772,8351,12560,2590,3074,6291,15339,7109
Zunheboto,582.71,9648,9544,7464,13067,4238,3147,14660,19192,4533
