district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,341.65,127,478.21,121,278.49,96,48.71,571.77,199
Dimapur,1200.34,194,1424.44,170,1314.64,426,30.30,4339.40,964
Kiphire,0.00,0,124.80,38,624.84,299,94.82,659.00,318
Kohima,845.23,187,979.61,181,412.68,183,20.96,1968.90,617
Longleng,70.11,48,182.78,52,404.34,222,99.45,406.59,224
Mokokchung,110.39,26,192.31,26,592.22,135,50.71,1167.86,251
Mon,168.82,97,366.24,94,732.61,283,65.54,1117.84,351
Niuland,0.00,0,119.51,41,155.95,57,92.99,167.70,61
Noklak,3.80,10,34.01,10,142.51,69,98.66,144.44,72
Peren,18.75,4,268.80,74,435.01,190,80.00,543.76,232
Phek,25.73,106,447.11,140,562.16,218,46.41,1211.22,435
Shamator,0.00,0,9.50,3,33.95,17,100.00,33.95,17
Tseminyu,29.20,9,106.55,34,6.40,2,14.83,43.16,19
Tuensang,77.52,66,231.04,66,623.51,327,98.44,633.42,331
Wokha,308.13,80,380.02,79,408.32,148,48.26,846.05,227
Zunheboto,144.29,85,341.38,85,577.95,245,59.12,977.65,337
