district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,138.98,30,314.74,128,1608.78,265,6799.63,1399
Dimapur,556.22,167,2106.01,1924,12356.82,2345,59530.98,13622
Kiphire,0.00,0,20.68,3,11.12,4,18.05,12
Kohima,136.55,27,562.57,147,9107.76,1338,39020.54,7748
Longleng,0.00,0,9.55,3,23.81,11,115.28,26
Mokokchung,27.87,15,281.27,101,1765.51,607,11988.24,4428
Mon,8.10,3,67.45,42,1503.68,334,3079.44,886
Niuland,0.00,0,0.14,1,41.24,19,414.92,262
Noklak,0.00,0,5.49,2,0.70,1,48.08,16
Peren,2.20,4,18.31,6,263.23,108,352.76,134
Phek,30.10,3,39.69,20,159.96,49,622.69,167
Shamator,0.00,0,0.00,1,12.80,13,170.69,78
Tseminyu,0.00,0,0.63,1,426.22,84,979.69,289
Tuensang,20.41,4,73.31,16,34.72,8,41.88,16
Wokha,6.05,4,76.96,24,620.01,234,2246.72,993
Zunheboto,11.98,3,63.73,24,266.41,46,1084.33,434
