District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
Eastern West Khasi Hills,198.51,6155,3406.25,85168,2585.49,11967,0,0,4.96,11,30234.33,1834801
East Garo Hills,229.62,7624,1531.71,35931,5570.86,26002,15.83,199,0,0,67249.15,6890397
East Jaintia Hills,410.99,12601,4809.43,129534,334664.04,51934,150.23,1223,0.01,2,125195.26,6523359
East Khasi Hills,14741.25,556431,76504.94,1791632,955324.37,410835,5718.33,57736,120.52,1221,1236308.53,59199899
North Garo Hills,388.58,10225,1206.93,28160,2892.26,29109,0.38,11,0,0,73396.88,8733343
Ri Bhoi,2052.21,81501,9472.33,238171,364868.51,54818,155.88,1874,0.54,35,210600.57,15554679
South Garo Hills,150.87,4311,694.4,16844,1189.51,5874,0,0,0.85,2,39639.49,4728786
South West Garo Hills,441.46,14488,933.82,23858,8172.61,45007,0,0,0,0,108129.77,7581287
South West Khasi Hills,206.51,6862,2788.51,75081,1271.97,4574,3.02,79,0,0,23105.68,1816588
West Garo Hills,1690.65,57952,5607.59,130001,213474.24,148409,180.2,1583,7.74,237,371224.86,29856206
West Jaintia Hills,899.8,32795,8796.97,190593,124522.24,41928,84,799,35.85,311,127511.03,7918612
West Khasi Hills,303.72,9427,4629.56,118653,3725.58,16436,2.17,37,0,0,56236.94,3795829
