District,Total CSP,"Out Of Total CSP,Other CSP","Out Of Total CSP, Fixed Point CSP",Total ATM,ATM Urban,ATM Semi-Urban,ATM Rural,Total Branch,Branch Urban,Branch Semi-Urban,Branch Rural
Eastern West Khasi Hills,60,1,59,5,1,3,1,12,1,4,7
East Garo Hills,296,0,296,12,1,9,2,15,1,9,5
East Jaintia Hills,156,3,153,17,0,2,15,26,0,3,23
East Khasi Hills,1006,619,387,297,239,22,36,190,103,29,58
North Garo Hills,88,0,88,11,0,4,7,13,0,5,8
Ri Bhoi,201,4,197,46,1,16,29,48,1,15,32
South Garo Hills,66,0,66,6,0,5,1,9,1,5,3
South West Garo Hills,238,0,238,10,0,2,8,15,0,3,12
South West Khasi Hills,58,0,58,10,0,1,9,10,0,1,9
West Garo Hills,769,5,764,56,1,45,10,46,6,20,20
West Jaintia Hills,194,6,188,36,2,27,7,45,3,24,18
West Khasi Hills,231,3,228,12,1,10,1,19,1,9,9
