District,Self Help Groups Amt,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
Eastern West Khasi Hills,1088.81,576,0,0,2753.1,578,0,0,7482.16,9623
East Garo Hills,898.48,773,0,0,601.31,131,59.98,9,5037.91,7166
East Jaintia Hills,1135.32,619,0.39,7,3453.94,786,152.68,15,5753.13,4073
East Khasi Hills,3633.48,2157,8.67,90,102936.61,25595,3200.91,1004,36799.18,32587
North Garo Hills,796.83,788,0,0,1069.32,656,183.14,17,6699.59,9152
Ri Bhoi,1497.1,988,3.37,30,10155.58,3871,868.2,346,30038.88,40465
South Garo Hills,352.76,438,0,0,493,94,10.24,11,2935.1,4710
South West Garo Hills,517.96,511,0,0,1046.62,649,138.63,36,6119.41,8588
South West Khasi Hills,804.24,514,0,0,973.64,290,2.02,3,3329.16,4021
West Garo Hills,1717.68,1609,0,0,7053.66,2138,468.95,140,13521.51,20918
West Jaintia Hills,2527.65,1326,0.39,5,16750.46,3631,184.02,16,12520.03,9243
West Khasi Hills,1462.71,701,0.57,8,3546.91,867,11.19,5,7352.85,9769
