district,forwarded_to_bank_no,mm,mm_claimed_no,mm_disbursement_no,pending_at_bank_no,pending_for_mm_disb_no,returned_by_bank_no,sanctioned_by_bank_no
Alipurduar,382.0,0.25,58.0,44.0,117.0,9.0,181.0,93.0
Bankura,171.0,0.0,27.0,27.0,70.0,0.0,87.0,20.0
Birbhum,239.0,0.01,51.0,45.0,72.0,1.0,119.0,66.0
Cooch Behar,437.0,0.0,42.0,43.0,139.0,0.0,251.0,64.0
Dakshin Dinajpur,135.0,0.03,19.0,18.0,35.0,1.0,75.0,26.0
Darjeeling,191.0,0.0,36.0,35.0,99.0,0.0,60.0,50.0
Hooghly,116.0,0.0,16.0,16.0,38.0,0.0,56.0,22.0
Howrah,160.0,0.0,17.0,17.0,81.0,0.0,69.0,14.0
Jalpaiguri,401.0,0.0,17.0,15.0,132.0,0.0,237.0,33.0
Jhargram,11.0,0.01,6.0,5.0,5.0,1.0,5.0,5.0
Kalimpong,38.0,0.02,2.0,0.0,20.0,2.0,16.0,4.0
Kolkata,106.0,0.01,3.0,2.0,47.0,1.0,40.0,22.0
Malda,183.0,0.01,26.0,25.0,59.0,1.0,96.0,33.0
Murshidabad,633.0,0.09,96.0,90.0,215.0,6.0,325.0,105.0
Nadia,257.0,0.06,69.0,68.0,124.0,1.0,86.0,69.0
North 24 Parganas,1240.0,0.18,102.0,98.0,348.0,6.0,788.0,107.0
Paschim Bardhaman,23.0,0.0,4.0,4.0,8.0,0.0,13.0,3.0
Paschim Medinipur,237.0,0.0,36.0,35.0,110.0,0.0,87.0,51.0
Purba Medinipur,1372.0,0.0,294.0,292.0,559.0,0.0,603.0,277.0
Purulia,187.0,0.06,12.0,11.0,70.0,1.0,101.0,26.0
South 24 Parganas,820.0,0.12,70.0,65.0,244.0,2.0,520.0,83.0
Uttar Dinajpur,61.0,0.0,2.0,2.0,38.0,0.0,20.0,7.0
