district,amount,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_outstanding_as_on_31_12_2020_no,of_achievement_no,target_no
Alipurduar,256.04,20394.0,45534.0,50.99,40000.0
Bankura,549.63,91231.0,165223.0,39.67,230000.0
Birbhum,832.27,163665.0,250178.0,77.57,211000.0
Cooch Behar,486.21,85099.0,104248.0,42.55,200000.0
Dakshin Dinajpur,719.74,45225.0,181210.0,37.69,120000.0
Darjeeling,94.85,5781.0,18731.0,28.91,20000.0
Hooghly,1004.64,200884.0,283501.0,89.28,225000.0
Howrah,133.23,37719.0,40326.0,37.72,100000.0
Jalpaiguri,765.69,27284.0,88311.0,54.57,50000.0
Jhargram,295.85,21200.0,67805.0,28.27,75000.0
Kalimpong,40.91,3390.0,10938.0,48.43,7000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,451.68,46538.0,110480.0,20.68,225000.0
Murshidabad,320.45,63435.0,71402.0,20.46,310000.0
Nadia,715.39,69806.0,159858.0,26.85,260000.0
North 24 Parganas,916.56,162772.0,278137.0,52.51,310000.0
Paschim Bardhaman,60.57,7822.0,19550.0,31.29,25000.0
Paschim Medinipur,1495.19,101479.0,348050.0,20.92,485000.0
Purba Bardhaman,1970.46,134643.0,394722.0,46.43,290000.0
Purba Medinipur,1608.89,497472.0,440532.0,67.68,735000.0
Purulia,335.35,23321.0,95599.0,20.82,112000.0
South 24 Parganas,3136.52,116640.0,613898.0,31.1,375000.0
Uttar Dinajpur,1011.21,40007.0,284312.0,20.52,195000.0
