district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
Alipurduar,0.0,51.0,0.0,0.0,
Bankura,364.0,191.0,11.0,7.0,12456.0
Birbhum,1899.0,212.0,56.0,58.0,12456.0
Cooch Behar,0.0,124.0,0.0,0.0,
Darjeeling,186.0,76.0,6.0,14.0,12456.0
Hooghly,0.0,237.0,0.0,0.0,
Howrah,0.0,115.0,0.0,0.0,
Jalpaiguri,41.0,77.0,3.0,4.0,124.0
Jhargram,0.0,82.0,0.0,0.0,
Kalimpong,0.0,14.0,4.0,0.0,
Kolkata,0.0,0.0,0.0,0.0,
Malda,0.0,184.0,0.0,0.0,
Murshidabad,0.0,293.0,0.0,0.0,
Nadia,68.0,212.0,11.0,9.0,124.0
North 24 Parganas,125.0,255.0,7.0,9.0,1234.0
Paschim Bardhaman,238.0,106.0,0.0,8.0,1234.0
Paschim Medinipur,0.0,249.0,5.0,0.0,12456.0
Purba Bardhaman,719.0,203.0,13.0,23.0,12456.0
Purba Medinipur,0.0,177.0,0.0,0.0,
Purulia,89.0,174.0,5.0,5.0,1234.0
South 24 Parganas,0.0,304.0,0.0,0.0,
Uttar Dinajpur,799.0,92.0,1.0,47.0,1246.0
