district,amt,average_disb_rs_in_lakh,disbursement_no,of_achievement_no,sanctioned_no,target_2020_21_no
Alipurduar,36.0,1.19,12055.0,85.0,8792.0,14100.0
Bankura,54.0,1.37,30445.0,105.0,18854.0,29088.0
Birbhum,46.0,1.75,34403.0,68.0,27797.0,50960.0
Cooch Behar,52.0,1.14,29615.0,126.0,16090.0,23462.0
Dakshin Dinajpur,32.0,1.03,13587.0,90.0,7390.0,15175.0
Darjeeling,173.0,1.4,9787.0,330.0,1968.0,2970.0
Hooghly,64.0,1.38,28502.0,130.0,18230.0,22002.0
Howrah,66.0,1.73,22602.0,101.0,16677.0,22395.0
Jalpaiguri,38.0,1.14,20975.0,89.0,11295.0,23493.0
Jhargram,38.0,0.88,9702.0,112.0,4893.0,8661.0
Kalimpong,83.0,1.72,1824.0,132.0,804.0,1378.0
Malda,42.0,1.04,34354.0,93.0,16336.0,37084.0
Murshidabad,42.0,0.83,46232.0,122.0,23311.0,38008.0
Nadia,38.0,0.84,28545.0,118.0,12182.0,24174.0
North 24 Parganas,31.0,0.88,38352.0,101.0,23587.0,38005.0
Paschim Bardhaman,65.0,1.7,5512.0,75.0,4215.0,7339.0
Paschim Medinipur,49.0,1.09,37401.0,114.0,23548.0,32871.0
Purba Bardhaman,54.0,1.67,28659.0,87.0,21360.0,33038.0
Purba Medinipur,62.0,1.52,51564.0,122.0,25357.0,42328.0
Purulia,31.0,0.76,18851.0,92.0,11170.0,20472.0
South 24 Parganas,44.0,1.09,37327.0,88.0,27140.0,42602.0
Uttar Dinajpur,62.0,1.19,18347.0,130.0,6677.0,14110.0
