district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_4544,total_settlement,total_trained,wage_employed
Bankura,53.45,301.0,2103.0,2415.0,71.78,4518.0,5125.0,7140.0,607.0
Birbhum,73.68,227.0,1196.0,3348.0,68.11,,4552.0,6683.0,8.0
Cooch Behar,51.51,136.0,1138.0,1209.0,73.97,2347.0,2381.0,3219.0,34.0
Darjeeling,65.26,109.0,741.0,1392.0,77.24,2133.0,2175.0,2816.0,42.0
Hooghly,85.25,265.0,681.0,3935.0,68.56,4616.0,4616.0,6733.0,0.0
Howrah,25.05,617.0,9477.0,3167.0,85.13,12644.0,13278.0,15597.0,634.0
Jalpaiguri,77.72,255.0,922.0,3216.0,81.86,4138.0,4359.0,5325.0,221.0
Malda,54.25,226.0,2045.0,2425.0,75.68,4470.0,5064.0,6691.0,594.0
Nadia,44.24,208.0,2023.0,1605.0,68.28,3628.0,3701.0,5420.0,73.0
North 24 Parganas,57.19,264.0,2245.0,2999.0,79.34,5244.0,5368.0,6766.0,124.0
Purba Bardhaman,58.33,245.0,1803.0,2524.0,68.74,4327.0,4327.0,6295.0,0.0
Purba Medinipur,52.3,227.0,2221.0,2435.0,71.74,4656.0,4704.0,6557.0,48.0
Purulia,64.62,180.0,889.0,1624.0,54.04,2513.0,2513.0,4650.0,0.0
South 24 Parganas,79.43,302.0,1037.0,4005.0,64.43,5042.0,5160.0,8009.0,118.0
Uttar Dinajpur,51.47,211.0,1880.0,1994.0,74.99,3874.0,3946.0,5262.0,72.0
