district,no_of_fl_crps,no_of_sangha_samabay,no_of_shg_members,no_of_shgs_as_on_nov_20_under_nrlm
Alipurduar,95.0,66.0,214268.0,20631.0
Bankura,394.0,190.0,497899.0,46160.0
Birbhum,271.0,167.0,533800.0,52015.0
Cooch Behar,252.0,128.0,512101.0,47783.0
Dakshin Dinajpur,188.0,64.0,204965.0,19230.0
Darjeeling,72.0,70.0,40778.0,4366.0
Hooghly,207.0,207.0,415004.0,41540.0
Howrah,262.0,157.0,400036.0,37017.0
Jalpaiguri,154.0,80.0,313274.0,29842.0
Jhargram,0.0,79.0,169840.0,17108.0
Kalimpong,63.0,42.0,19602.0,2163.0
Malda,286.0,146.0,549107.0,52494.0
Murshidabad,468.0,250.0,881832.0,85456.0
Nadia,361.0,185.0,434673.0,42461.0
North 24 Parganas,355.0,199.0,479914.0,48014.0
Paschim Bardhaman,94.0,62.0,85121.0,8222.0
Paschim Medinipur,248.0,211.0,496489.0,49260.0
Purba Bardhaman,321.0,215.0,404655.0,39343.0
Purba Medinipur,257.0,223.0,761161.0,75768.0
Purulia,397.0,170.0,395126.0,36922.0
South 24 Parganas,511.0,310.0,826558.0,71987.0
Uttar Dinajpur,25.0,98.0,297654.0,30805.0
