district,amount,no_of_active,no_of_cases,no_of_cases_pending,no_of_sponsored,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_for_fy_2020_21_no
Alipurduar,0.0,539.0,0.0,1.0,0.0,0.0,0.0,8.0
Bankura,0.0,2110.0,1.0,9.0,0.0,0.0,0.0,6.0
Birbhum,0.0,3378.0,0.0,92.0,0.0,0.0,0.0,17.0
Cooch Behar,0.0,1514.0,0.0,38.0,0.0,0.0,0.0,20.0
Dakshin Dinajpur,0.0,1560.0,0.0,8.0,0.0,0.0,0.0,12.0
Darjeeling,0.03,1830.0,1.0,7.0,3.0,6.0,6.0,8.0
Hooghly,0.01,5033.0,0.0,137.0,1.0,1.0,1.0,25.0
Howrah,0.0,1397.0,0.0,8.0,0.0,0.0,0.0,3.0
Jalpaiguri,0.16,1214.0,0.0,30.0,1.0,5.0,5.0,9.0
Jhargram,0.0,417.0,0.0,0.0,0.0,0.0,0.0,1.0
Kalimpong,0.0,71.0,0.0,1.0,0.0,0.0,0.0,1.0
Kolkata,0.0,1186.0,0.0,17.0,0.0,0.0,0.0,4.0
Malda,0.0,869.0,0.0,67.0,0.0,0.0,0.0,17.0
Murshidabad,0.06,4775.0,0.0,174.0,10.0,8.0,8.0,74.0
Nadia,0.0,5470.0,0.0,58.0,0.0,0.0,0.0,20.0
North 24 Parganas,0.09,14115.0,5.0,291.0,31.0,14.0,15.0,70.0
Paschim Bardhaman,0.0,2426.0,0.0,25.0,0.0,0.0,0.0,2.0
Paschim Medinipur,0.03,3362.0,1.0,57.0,11.0,5.0,5.0,12.0
Purba Bardhaman,0.01,2717.0,0.0,33.0,5.0,2.0,2.0,23.0
Purba Medinipur,0.08,3057.0,0.0,65.0,10.0,10.0,10.0,15.0
Purulia,0.04,1156.0,1.0,16.0,7.0,4.0,4.0,2.0
South 24 Parganas,0.01,2945.0,0.0,61.0,7.0,3.0,3.0,22.0
Uttar Dinajpur,0.0,1741.0,0.0,30.0,0.0,0.0,0.0,29.0
