district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,19.0,5.0,3.0,0.0,27.0
Birbhum,26.0,7.0,2.0,2.0,37.0
Cooch Behar,17.0,2.0,3.0,0.0,22.0
Dakshin Dinajpur,48.0,5.0,3.0,0.0,56.0
Darjeeling,33.0,16.0,2.0,1.0,52.0
Hooghly,94.0,22.0,8.0,17.0,141.0
Howrah,102.0,54.0,6.0,2.0,164.0
Jalpaiguri,16.0,1.0,0.0,0.0,17.0
Jhargram,3.0,0.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,170.0,62.0,0.0,2.0,234.0
Malda,76.0,17.0,0.0,4.0,97.0
Murshidabad,108.0,76.0,14.0,0.0,198.0
Nadia,44.0,19.0,0.0,0.0,63.0
North 24 Parganas,93.0,84.0,17.0,4.0,198.0
Paschim Bardhaman,49.0,28.0,5.0,2.0,84.0
Paschim Medinipur,40.0,8.0,2.0,0.0,50.0
Purba Bardhaman,60.0,13.0,8.0,6.0,87.0
Purba Medinipur,54.0,8.0,4.0,0.0,66.0
Purulia,16.0,3.0,2.0,2.0,23.0
South 24 Parganas,275.0,31.0,8.0,10.0,324.0
Uttar Dinajpur,32.0,1.0,1.0,0.0,34.0
