district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,734.9,1096.48,564.9,36.78,336.8,1998.18
Bankura,3288.18,4102.28,3112.53,40.19,967.02,8181.82
Birbhum,3041.28,4299.73,3823.71,32.06,1361.85,9485.3
Cooch Behar,2788.14,3176.72,2450.74,42.0,1010.4,6637.86
Dakshin Dinajpur,2924.96,3323.59,2619.88,43.9,718.97,6662.44
Darjeeling,2176.53,887.42,1621.29,65.27,826.02,3334.73
Hooghly,4802.98,4305.55,4070.4,48.35,1557.68,9933.64
Howrah,7351.94,2014.6,9796.76,57.37,1004.2,12815.56
Jalpaiguri,2989.79,2008.79,2281.45,58.23,843.87,5134.11
Jhargram,1656.39,1819.76,1521.29,42.01,601.68,3942.73
Kalimpong,294.71,273.38,289.97,44.06,105.56,668.91
Kolkata,9609.0,574.94,12397.75,49.01,6632.44,19605.13
Malda,4142.55,4064.28,2549.35,42.92,3038.16,9651.79
Murshidabad,7030.29,6885.55,5224.48,51.1,1646.58,13756.61
Nadia,6232.19,5641.2,5018.05,51.28,1494.06,12153.31
North 24 Parganas,6370.89,3337.19,6945.69,51.81,2013.65,12296.53
Paschim Bardhaman,3491.6,248.41,4278.41,70.59,419.71,4946.53
Purba Bardhaman,4440.92,7681.73,3149.4,36.38,1376.68,12207.81
Purba Medinipur,6794.62,4710.25,4702.85,59.8,1949.1,11362.2
Purulia,3559.2,2639.87,2786.9,54.71,1078.48,6505.25
South 24 Parganas,7059.02,3801.42,5739.52,63.47,1580.97,11121.92
Uttar Dinajpur,1984.88,2588.93,747.16,46.64,919.51,4255.6
