district,advance,cd_ratio,cd_ratio_as_on_dec_2019,cd_ratio_as_on_dec_2020_deposit
Alipurduar,2736.29,40.77,40.88,6712.23
Bankura,5435.0,44.18,42.14,12303.0
Birbhum,6582.84,40.16,40.07,16391.32
Cooch Behar,6476.55,83.53,68.36,7753.47
Dakshin Dinajpur,2644.97,59.33,54.13,4458.2
Darjeeling,11906.17,63.53,59.87,18742.42
Hooghly,14814.77,31.89,28.08,46449.27
Howrah,15879.61,40.5,42.8,39211.13
Jalpaiguri,4798.67,59.54,43.88,8059.32
Jhargram,1643.43,40.06,41.01,4102.52
Kalimpong,593.37,37.35,35.4,1588.48
Kolkata,240259.08,67.28,78.32,357118.68
Malda,6588.76,55.24,54.54,11927.21
Murshidabad,8502.43,39.95,55.36,21280.66
Nadia,15439.99,50.52,49.1,30565.14
North 24 Parganas,48964.61,34.05,32.38,143810.06
Paschim Bardhaman,16279.72,42.01,34.75,38752.48
Paschim Medinipur,10614.72,44.71,46.23,23741.56
Purba Bardhaman,13188.6,44.29,42.5,29778.13
Purba Medinipur,12062.89,43.13,44.61,27967.49
Purulia,4460.0,55.83,45.9,7989.0
South 24 Parganas,16556.58,44.41,45.88,37279.69
Uttar Dinajpur,4479.85,60.8,57.13,7368.09
