district,handloom_cluster,kvib_cluster,msme_cluster
Alipurduar,44.0,0.0,0.0
Bankura,0.0,110.0,129.0
Birbhum,231.0,89.0,171.0
Cooch Behar,89.0,0.0,115.0
Dakshin Dinajpur,0.0,2.0,27.0
Darjeeling,0.0,0.0,4.0
Hooghly,1.0,0.0,7.0
Howrah,0.0,0.0,0.0
Jalpaiguri,0.0,110.0,2362.0
Jhargram,0.0,0.0,0.0
Kalimpong,0.0,0.0,39.0
Kolkata,0.0,0.0,0.0
Malda,0.0,0.0,62.0
Murshidabad,207.0,0.0,29.0
Nadia,1163.0,35.0,0.0
North 24 Parganas,5.0,0.0,86.0
Paschim Bardhaman,0.0,0.0,5.0
Paschim Medinipur,0.0,41.0,46.0
Purba Bardhaman,0.0,0.0,29.0
Purba Medinipur,0.0,0.0,78.0
Purulia,0.0,0.0,27.0
South 24 Parganas,0.0,5.0,22.0
Uttar Dinajpur,0.0,2.0,48.0
