district,cd_ratio_as_on_sept,cd_ratio_sept_2018_amount_in_rs_crore
Alipurduar,41.0,4452.42
Bankura,40.0,9654.23
Birbhum,37.0,12122.73
Cooch Behar,65.0,8772.85
Dakshin Dinajpur,55.0,4285.33
Darjeeling,48.0,17073.75
Hooghly,23.0,35548.23
Howrah,38.0,29912.13
Jalpaiguri,43.0,13789.52
Jhargram,93.0,3639.89
Kalimpong,37.0,1078.48
Kolkata,89.0,312469.16
Malda,51.0,9512.21
Murshidabad,50.0,12964.72
Nadia,45.0,24721.53
Paschim Bardhaman,41.0,30922.56
Paschim Medinipur,40.0,20613.98
Purba Bardhaman,40.0,24961.71
Purba Medinipur,43.0,21752.66
Purulia,43.0,8785.36
Uttar Dinajpur,57.0,6723.56
