district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,53.86,254.0,1600.0,1868.0,67.96,4016.0,3468.0,5909.0,548.0
Birbhum,73.69,196.0,972.0,2723.0,64.88,3701.0,3695.0,5704.0,6.0
Cooch Behar,46.52,103.0,991.0,862.0,74.84,1874.0,1853.0,2504.0,21.0
Darjeeling,52.11,75.0,668.0,727.0,75.07,1433.0,1395.0,1909.0,38.0
Hooghly,83.56,217.0,633.0,3218.0,68.38,3851.0,3851.0,5632.0,0.0
Howrah,23.48,555.0,8614.0,2643.0,84.98,11856.0,11257.0,13952.0,599.0
Jalpaiguri,83.48,224.0,595.0,3006.0,81.06,3697.0,3601.0,4561.0,96.0
Malda,55.78,179.0,1564.0,1973.0,75.5,4099.0,3537.0,5429.0,562.0
Nadia,38.95,162.0,1721.0,1098.0,69.04,2892.0,2819.0,4189.0,73.0
North 24 Parganas,56.85,216.0,1858.0,2448.0,77.33,4308.0,4306.0,5571.0,2.0
Purba Bardhaman,55.12,196.0,1461.0,1794.0,65.81,3255.0,3255.0,4946.0,0.0
Purba Medinipur,45.92,184.0,2069.0,1757.0,72.96,3867.0,3826.0,5300.0,41.0
Purulia,64.6,145.0,657.0,1199.0,50.24,1856.0,1856.0,3694.0,0.0
South 24 Parganas,82.79,258.0,743.0,3574.0,63.33,4357.0,4317.0,6880.0,40.0
Uttar Dinajpur,56.91,174.0,1331.0,1758.0,72.4,3158.0,3089.0,4362.0,69.0
