district,amount,disbursed_upto_31_03_18_no,sanctioned_but_pending_for_disbursement_no,sanctioned_no,sponsored_no
Alipurduar,200.36,138.0,169.0,438.0,1166.0
Bankura,439.37,273.0,637.0,970.0,2341.0
Birbhum,282.06,329.0,520.0,1436.0,2912.0
Cooch Behar,291.18,460.0,507.0,1242.0,3392.0
Dakshin Dinajpur,181.14,83.0,276.0,413.0,1110.0
Darjeeling,19.3,64.0,21.0,177.0,339.0
Hooghly,305.97,832.0,362.0,1610.0,5452.0
Howrah,407.17,407.0,580.0,1233.0,2466.0
Jalpaiguri,244.17,221.0,410.0,1492.0,3027.0
Kalimpong,0.0,19.0,0.0,19.0,98.0
Kolkata,188.71,153.0,151.0,335.0,617.0
Malda,197.33,686.0,216.0,1378.0,2643.0
Murshidabad,334.18,793.0,417.0,1819.0,3546.0
Nadia,291.36,181.0,394.0,1094.0,3291.0
Paschim Bardhaman,103.62,2519.0,124.0,178.0,646.0
Purba Bardhaman,1355.14,2438.0,1665.0,1919.0,4842.0
Purba Medinipur,400.87,182.0,522.0,1086.0,2336.0
Purulia,257.2,365.0,342.0,502.0,2405.0
Uttar Dinajpur,577.29,331.0,664.0,348.0,826.0
