district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending_as_on_30_09_2018
Bankura,8.0,0.0,0.0,0.0,8.0
Birbhum,2.0,0.0,7.0,2.0,11.0
Dakshin Dinajpur,15.0,13.0,0.0,0.0,28.0
Darjeeling,5.0,1.0,0.0,0.0,6.0
Hooghly,69.0,10.0,12.0,9.0,100.0
Howrah,37.0,7.0,10.0,15.0,69.0
Jalpaiguri,5.0,4.0,0.0,0.0,9.0
Jhargram,0.0,2.0,0.0,0.0,2.0
Kolkata,15.0,1.0,1.0,2.0,19.0
Malda,44.0,14.0,0.0,0.0,58.0
Murshidabad,109.0,82.0,0.0,18.0,209.0
Nadia,18.0,10.0,5.0,0.0,33.0
North 24 Parganas,39.0,14.0,38.0,7.0,98.0
Paschim Bardhaman,14.0,6.0,8.0,2.0,30.0
Paschim Medinipur,20.0,4.0,6.0,1.0,31.0
Purba Bardhaman,9.0,8.0,15.0,1.0,33.0
Purba Medinipur,76.0,8.0,4.0,0.0,88.0
Purulia,4.0,0.0,0.0,0.0,4.0
South 24 Parganas,213.0,35.0,9.0,5.0,262.0
Uttar Dinajpur,13.0,5.0,0.0,0.0,18.0
