district,population_as_per_2011_census
Bankura,568.0
Birbhum,606.0
Cooch Behar,91.0
Dakshin Dinajpur,698.0
Jalpaiguri,4076.0
Kalimpong,724.0
Paschim Bardhaman,608.0
Purulia,908.0
South 24 Parganas,5683.0
