district,no_of_fpos
Bankura,5.0
Birbhum,6.0
Cooch Behar,3.0
Darjeeling,2.0
Hooghly,5.0
Howrah,3.0
Jalpaiguri,1.0
Malda,2.0
Murshidabad,6.0
Nadia,5.0
North 24 Parganas,2.0
Paschim Bardhaman,2.0
Purba Bardhaman,1.0
Purulia,4.0
South 24 Parganas,8.0
Uttar Dinajpur,12.0
