district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,24.42,17.0,65.0,21.0,19.77,86.0,86.0,435.0,0.0
Birbhum,64.44,9.0,32.0,58.0,37.19,90.0,90.0,242.0,0.0
Cooch Behar,0.0,6.0,22.0,0.0,13.84,22.0,22.0,159.0,0.0
Darjeeling,52.11,4.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0
Hooghly,95.96,13.0,4.0,95.0,30.37,99.0,99.0,326.0,0.0
Howrah,42.05,22.0,102.0,74.0,29.09,183.0,176.0,629.0,7.0
Jalpaiguri,100.0,11.0,0.0,30.0,10.38,30.0,30.0,289.0,0.0
Malda,5.65,13.0,117.0,7.0,54.64,212.0,124.0,388.0,88.0
Nadia,98.95,12.0,1.0,94.0,28.96,95.0,95.0,328.0,0.0
North 24 Parganas,56.85,11.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0
Purba Bardhaman,100.0,10.0,0.0,13.0,4.56,13.0,13.0,285.0,0.0
Purba Medinipur,66.03,14.0,53.0,103.0,39.3,158.0,156.0,402.0,2.0
Purulia,45.24,10.0,46.0,38.0,33.73,84.0,84.0,249.0,0.0
South 24 Parganas,85.71,18.0,1.0,6.0,1.5,7.0,7.0,468.0,0.0
Uttar Dinajpur,88.46,12.0,3.0,23.0,9.56,26.0,26.0,272.0,0.0
