district,achievement_as_on_30_09_2018_no,amt_in_lac,amt_lac,average_rs_lac,of_achievement_no,target_for_2018_19_no
Alipurduar,1776.0,2859.28,9.51,1.61,14.07,12625.0
Bankura,7668.0,19271.56,28.09,2.51,26.91,28497.0
Birbhum,19334.0,22209.0,29.03,1.15,57.43,33668.0
Cooch Behar,2853.0,7506.75,9.45,2.63,8.65,32987.0
Dakshin Dinajpur,2262.0,4514.39,13.52,2.0,15.99,14142.0
Darjeeling,322.0,16.31,0.37,0.05,17.46,1844.0
Hooghly,17092.0,17854.34,34.93,1.04,83.59,20447.0
Howrah,4932.0,8077.91,19.32,1.64,28.01,17611.0
Jalpaiguri,4941.0,8235.65,14.43,1.67,22.38,22080.0
Jhargram,2723.0,2453.69,10.42,0.9,29.85,9122.0
Kalimpong,523.0,20.86,0.95,0.04,56.53,926.0
Malda,3253.0,4363.96,5.35,1.34,9.74,33413.0
Murshidabad,13158.0,29430.82,31.11,2.24,32.41,40601.0
Nadia,13703.0,16572.53,32.81,1.21,63.44,21601.0
North 24 Parganas,15791.0,5671.04,6.48,0.36,44.35,35609.0
Paschim Bardhaman,18919.0,39422.15,331.26,2.08,391.62,4831.0
Paschim Medinipur,19084.0,29085.98,37.4,1.52,64.96,29380.0
Purba Bardhaman,5962.0,6569.44,8.5,1.1,20.56,28994.0
Purba Medinipur,25128.0,43870.69,48.22,1.75,66.57,37745.0
Purulia,14643.0,9052.94,20.44,0.62,78.03,18766.0
South 24 Parganas,19753.0,26790.44,31.72,1.36,51.0,38731.0
Uttar Dinajpur,3990.0,7810.49,14.51,1.96,18.04,22117.0
