district,period,acp_achievement__col_1,acp_achievement__col_10,acp_achievement__col_11,acp_achievement__col_12,acp_achievement__col_2,acp_achievement__col_3,acp_achievement__col_4,acp_achievement__col_5,acp_achievement__col_6,acp_achievement__col_7,acp_achievement__col_8,acp_achievement__col_9,animal_husbandry__achievement_no,animal_husbandry__amount_crore,animal_husbandry__target_no,atm_network__no_of_atm,bank_mitra__no_of_bank_mitra,cgtmse__amount_crore,cgtmse__no_of_accounts,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,fisheries__achievement_no,fisheries__amount_crore,fisheries__target_no,jansuraksha__col_1,jansuraksha__col_2,jansuraksha__col_3,jansuraksha__col_4,jansuraksha__col_5,jansuraksha__col_6,jansuraksha__col_7,jansuraksha__col_8,jansuraksha__col_9,kcc__achievement_amt,kcc__achievement_no,kcc__achievement_pct_amt,kcc__achievement_pct_no,kcc__target_amt,kcc__target_no,mudra__kishore_amt,mudra__kishore_no,mudra__shishu_amt,mudra__shishu_no,mudra__tarun_amt,mudra__tarun_no,mudra__total_amt,mudra__total_no,pmegp__disbursed_projects,pmegp__sanctioned_amt,pmegp__sanctioned_projects,pmegp__sponsored_projects,pmegp__target_employment,pmegp__target_margin_money,pmegp__target_projects,pmjdy__active_no,pmjdy__active_pct,pmjdy__balance_amt_crore,pmjdy__female_no,pmjdy__male_no,pmjdy__rupay_active_no,pmjdy__rupay_active_pct,pmjdy__rupay_issued_no,pmjdy__rural_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,pmjdy__zero_balance_no,priority_sector__col_1,priority_sector__col_2,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,shg__achievement_amt,shg__achievement_no,shg__achievement_pct_amt,shg__achievement_pct_no,shg__target_amt,shg__target_no,social_security_apy__subscribers_fy15,social_security_apy__subscribers_fy16,social_security_apy__subscribers_fy17,social_security_apy__subscribers_fy18,social_security_apy__subscribers_fy19,social_security_apy__subscribers_fy20,social_security_pmjjby__claims_amount_crore,social_security_pmjjby__claims_paid_no,social_security_pmjjby__claims_pending_no,social_security_pmjjby__claims_rejected_no,social_security_pmjjby__claims_total_no,social_security_pmjjby__claims_under_process_no,social_security_pmsby__claims_amount_crore,social_security_pmsby__claims_paid_no,social_security_pmsby__claims_pending_no,social_security_pmsby__claims_rejected_no,social_security_pmsby__claims_total_no,social_security_pmsby__claims_under_process_no,stand_up_india__sc_st_amount,stand_up_india__sc_st_loans,stand_up_india__total_amount,stand_up_india__total_loans,stand_up_india__women_amount,stand_up_india__women_loans
Agra,March 2019,1317040.0,,,,1051315.0,79.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,240423.0,235442.0,4981.0,,,,,,,,,,,,194073.0,,1041160.0,1137888.0,1276995.0,,,86.7,406008.0,352.82,870987.0,986511.0,,,,,,,,731.89,,,144.32,288.0,6187.0,6940.0,16840.0,17773.0,47740.0,,1162.0,581.0,5.0,10.0,638.0,42.0,262.0,131.0,0.0,31.0,195.0,33.0,,,,,,
Aligarh,March 2019,812753.09,,,,611532.0,75.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.79,159860.52,155089.52,4771.0,140.89,151.9,143.33,1744.0,,,,,,,,145997.0,,736202.0,779033.0,874288.0,,,82.58,396724.0,235.77,477564.0,643301.0,,,,,,,,399.8,,,99.34,218.0,4722.0,6251.0,13073.0,15555.0,39601.0,,1064.0,532.0,1.0,1.0,558.0,24.0,122.0,61.0,0.0,3.0,82.0,18.0,,,,,,
Prayagraj,March 2019,353483.0,,,,339415.78,96.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,69011.98,68611.98,400.0,234.57,246.26,217.53,2719.0,,,,,,,,214333.0,,1727010.0,1782080.0,1938134.0,,,83.89,1238871.0,727.06,699263.0,1494955.0,,,,,,,,,,,,,8429.0,10353.0,21955.0,43512.0,84249.0,,1046.0,523.0,5.0,13.0,590.0,49.0,100.0,50.0,0.0,7.0,75.0,18.0,,,,,,
Ambedkar Nagar,March 2019,154758.02,,,,120833.59,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,10257.0,4368.0,3912.0,6656.0,3601.0,10.51,44338.87,43103.87,1235.0,75.33,80.36,44.09,526.0,,,,,,,,99651.0,,774227.0,784679.0,836196.0,,,85.09,578858.0,238.51,257338.0,667655.0,,,,,,,,263.18,,,126.34,386.0,2626.0,9025.0,11348.0,14375.0,37374.0,,264.0,132.0,0.0,6.0,157.0,19.0,48.0,24.0,0.0,1.0,27.0,2.0,,,,,,
Amethi,March 2019,130018.58,,,,85222.0,65.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,27076.89,26976.89,100.0,72.04,75.38,55.86,692.0,,,,,,,,24866.0,,291628.0,305239.0,333394.0,,,92.59,278256.0,155.9,55138.0,282615.0,,,,,,,,165.27,,,120.37,221.0,296.0,394.0,1205.0,1421.0,3316.0,,128.0,64.0,0.0,0.0,68.0,4.0,64.0,32.0,0.0,1.0,39.0,6.0,,,,,,
Auraiya,March 2019,55971.6,,,,36242.3,64.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,39945.0,2596.0,2325.0,32280.0,7665.0,3.31,16966.97,15349.84,1617.13,16.66,19.37,16.1,205.0,,,,,,,,41605.0,,276382.0,294236.0,321445.0,,,84.07,240249.0,102.65,81196.0,247352.0,,,,,,,,357.91,,,17.43,62.0,480.0,931.0,3030.0,4137.0,8578.0,,194.0,97.0,0.0,1.0,103.0,5.0,34.0,17.0,0.0,0.0,19.0,2.0,,,,,,
Azamgarh,March 2019,258680.0,,,,195330.01,75.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87,97368.41,97268.41,100.0,130.62,136.65,77.35,960.0,,,,,,,,114812.0,,625639.0,863989.0,990341.0,,,85.47,786745.0,338.28,203596.0,738475.0,,,,,,,,765.77,,,160.88,259.0,5123.0,13544.0,18417.0,18736.0,55820.0,,346.0,173.0,1.0,4.0,199.0,21.0,94.0,47.0,0.0,3.0,54.0,4.0,,,,,,
Baghpat,March 2019,325235.21,,,,246095.88,75.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344.0,31.46,33.61,12694.0,49.15,55.32,37.27,457.0,,,,,,,,23912.0,,174421.0,187782.0,208607.0,,,78.4,144158.0,102.63,64449.0,147218.0,,,,,,,,247.81,,,132.28,336.0,,,,,,,310.0,155.0,0.0,0.0,159.0,4.0,122.0,61.0,0.0,2.0,69.0,6.0,,,,,,
Bahraich,March 2019,144458.66,,,,120637.63,83.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58165.0,6505.0,6505.0,58165.0,0.0,4.81,77644.63,77544.63,100.0,46.5,49.9,37.58,455.0,,,,,,,,62008.0,,547656.0,716378.0,805748.0,,,76.88,592878.0,249.83,212870.0,550737.0,,,,,,,,,,,,,3010.0,1852.0,7114.0,8571.0,20547.0,,444.0,222.0,3.0,31.0,275.0,19.0,84.0,42.0,0.0,3.0,63.0,18.0,,,,,,
Ballia,March 2019,209440.0,,,,151419.55,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,75345.49,75245.49,100.0,81.43,85.1,58.95,690.0,,,,,,,,160254.0,,770142.0,894242.0,998533.0,,,87.28,532757.0,329.66,465776.0,780502.0,,,,,,,,,,,,,2260.0,3153.0,7641.0,13584.0,26638.0,,330.0,165.0,1.0,0.0,172.0,6.0,38.0,19.0,0.0,1.0,22.0,2.0,,,,,,
