district,handloom,name_of_clusters_msme,total,wbkvib
Alipurduar,1.0,1.0,2.0,0.0
Bankura,3.0,3.0,9.0,3.0
Birbhum,2.0,3.0,7.0,2.0
Cooch Behar,2.0,0.0,3.0,1.0
Dakshin Dinajpur,3.0,2.0,6.0,1.0
Darjeeling,0.0,4.0,4.0,0.0
Hooghly,3.0,2.0,5.0,0.0
Howrah,1.0,4.0,7.0,2.0
Jalpaiguri,0.0,1.0,2.0,1.0
Kalimpong,0.0,0.0,1.0,1.0
Malda,1.0,5.0,7.0,1.0
Murshidabad,2.0,5.0,7.0,0.0
Nadia,16.0,5.0,22.0,1.0
North 24 Parganas,0.0,2.0,3.0,1.0
Paschim Bardhaman,0.0,2.0,2.0,0.0
Paschim Medinipur,1.0,9.0,11.0,1.0
Purba Bardhaman,9.0,1.0,13.0,3.0
Purba Medinipur,4.0,11.0,16.0,1.0
Purulia,1.0,7.0,9.0,1.0
South 24 Parganas,0.0,5.0,5.0,0.0
Uttar Dinajpur,1.0,10.0,11.0,0.0
