district,achievement_disbursement_no,achievement_sanction_no,amt,of_achievement_disbursement_no,pending_shg_no,target_for_2019_20_disbursement_no,total_application_submitted
Alipurduar,6672.0,9832.0,17.0,47.0,206.0,14100.0,10038.0
Bankura,16882.0,8120.0,31.0,59.0,5690.0,28786.0,13810.0
Birbhum,19627.0,15804.0,36.0,51.0,-91.0,38359.0,15713.0
Cooch Behar,14265.0,6054.0,24.0,64.0,2236.0,22293.0,8290.0
Dakshin Dinajpur,9853.0,3305.0,24.0,66.0,6350.0,15012.0,9655.0
Hooghly,14794.0,6880.0,36.0,67.0,2467.0,22150.0,9347.0
Howrah,11903.0,10209.0,42.0,65.0,114.0,18313.0,10323.0
Jalpaiguri,9872.0,7648.0,16.0,41.0,4956.0,23940.0,12604.0
Jhargram,3785.0,6816.0,17.0,44.0,741.0,8661.0,7557.0
Kalimpong,1006.0,782.0,41.0,89.0,0.0,1126.0,782.0
Malda,19779.0,7280.0,27.0,53.0,1502.0,37084.0,8782.0
Murshidabad,21816.0,16860.0,26.0,57.0,1036.0,38008.0,17896.0
Nadia,14259.0,3857.0,31.0,66.0,3658.0,21447.0,7515.0
Paschim Medinipur,15419.0,10970.0,24.0,46.0,2113.0,33238.0,13083.0
Purba Medinipur,23180.0,16400.0,36.0,58.0,3408.0,39976.0,19808.0
Purulia,8556.0,10002.0,17.0,42.0,4194.0,20472.0,14196.0
South 24 Parganas,23191.0,15160.0,29.0,54.0,6058.0,42602.0,21218.0
Uttar Dinajpur,12094.0,10463.0,42.0,90.0,1251.0,13375.0,11714.0
