district,amount,loan_disbursed_no,loan_sanctioned_no,no_of_cases_pending,no_of_sponsored_application,target_for_2019_20_no
Alipurduar,0.0,0.0,0.0,0.0,0.0,3.0
Bankura,0.0,0.0,0.0,0.0,1.0,12.0
Birbhum,0.0,0.0,0.0,0.0,0.0,22.0
Cooch Behar,0.0,0.0,0.0,0.0,0.0,17.0
Dakshin Dinajpur,0.0,0.0,0.0,0.0,0.0,8.0
Darjeeling,0.0,0.0,0.0,0.0,0.0,7.0
Hooghly,2.0,1.0,1.0,0.0,1.0,39.0
Howrah,0.0,0.0,0.0,0.0,0.0,8.0
Jalpaiguri,0.0,0.0,0.0,0.0,0.0,11.0
Jhargram,0.0,0.0,0.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,0.0,0.0,2.0
Kolkata,0.0,0.0,0.0,0.0,0.0,5.0
Malda,0.0,0.0,0.0,0.0,0.0,11.0
Murshidabad,0.0,0.0,0.0,0.0,0.0,27.0
Nadia,0.0,0.0,0.0,0.0,0.0,32.0
North 24 Parganas,0.0,0.0,0.0,0.0,0.0,74.0
Paschim Bardhaman,0.0,0.0,0.0,0.0,0.0,7.0
Paschim Medinipur,3.75,3.0,3.0,0.0,3.0,21.0
Purba Bardhaman,0.0,0.0,0.0,0.0,0.0,20.0
Purba Medinipur,2.58,2.0,2.0,0.0,2.0,18.0
Purulia,0.0,0.0,0.0,0.0,0.0,6.0
South 24 Parganas,0.0,0.0,0.0,0.0,0.0,23.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,0.0,14.0
