district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,53.04,281.0,1854.0,2094.0,68.62,4553.0,3948.0,6635.0,605.0
Birbhum,73.85,218.0,1123.0,3172.0,67.15,4302.0,4295.0,6407.0,7.0
Cooch Behar,46.08,123.0,1024.0,875.0,66.04,1933.0,1899.0,2927.0,34.0
Darjeeling,54.75,95.0,729.0,882.0,66.09,1651.0,1611.0,2498.0,40.0
Hooghly,85.35,247.0,639.0,3723.0,68.91,4362.0,4362.0,6330.0,0.0
Howrah,24.3,591.0,9158.0,2940.0,85.34,12718.0,12098.0,14903.0,620.0
Jalpaiguri,78.04,241.0,889.0,3160.0,84.96,4270.0,4049.0,5026.0,221.0
Malda,54.99,203.0,1706.0,2084.0,71.79,4384.0,3790.0,6107.0,594.0
Nadia,40.91,192.0,1891.0,1309.0,65.72,3273.0,3200.0,4980.0,73.0
North 24 Parganas,59.96,247.0,1997.0,2991.0,80.19,5112.0,4988.0,6375.0,124.0
Purba Bardhaman,56.51,225.0,1679.0,2182.0,67.28,3861.0,3861.0,5739.0,0.0
Purba Medinipur,50.72,211.0,2188.0,2252.0,73.52,4486.0,4440.0,6102.0,46.0
Purulia,64.29,166.0,772.0,1390.0,50.51,2162.0,2162.0,4280.0,0.0
South 24 Parganas,82.38,280.0,811.0,3791.0,62.2,4646.0,4602.0,7470.0,44.0
Uttar Dinajpur,53.61,196.0,1534.0,1773.0,69.07,3378.0,3307.0,4891.0,71.0
