district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,40.54,14.0,44.0,30.0,23.43,93.0,74.0,397.0,19.0
Birbhum,83.11,12.0,25.0,123.0,39.52,149.0,148.0,377.0,1.0
Cooch Behar,10.0,9.0,9.0,1.0,5.65,10.0,10.0,177.0,0.0
Darjeeling,,9.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0
Hooghly,100.0,12.0,0.0,81.0,27.09,81.0,81.0,299.0,0.0
Howrah,22.73,21.0,153.0,45.0,35.43,203.0,198.0,573.0,5.0
Jalpaiguri,100.0,8.0,0.0,50.0,20.66,50.0,50.0,242.0,0.0
Malda,0.0,11.0,14.0,0.0,4.58,14.0,14.0,306.0,0.0
Nadia,0.0,12.0,45.0,0.0,14.66,45.0,45.0,307.0,0.0
North 24 Parganas,67.21,15.0,60.0,123.0,60.45,243.0,183.0,402.0,60.0
Purba Bardhaman,100.0,13.0,0.0,86.0,24.43,86.0,86.0,352.0,0.0
Purba Medinipur,72.41,13.0,32.0,84.0,30.77,116.0,116.0,377.0,0.0
Purulia,,8.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0
South 24 Parganas,0.0,10.0,2.0,0.0,0.83,2.0,2.0,240.0,0.0
Uttar Dinajpur,0.0,10.0,52.0,0.0,23.66,53.0,52.0,224.0,1.0
