district,as_on_30_06_2019,as_on_30_09_2019
Alipurduar,40.53,40.59
Bankura,42.21,42.55
Birbhum,38.83,40.13
Cooch Behar,63.05,66.93
Dakshin Dinajpur,52.04,53.13
Darjeeling,57.66,57.4
Hooghly,27.61,29.69
Howrah,42.87,43.65
Jalpaiguri,52.78,43.06
Jhargram,40.11,40.87
Kalimpong,32.28,32.28
Kolkata,81.77,84.56
Malda,54.1,54.38
Murshidabad,56.27,55.02
Nadia,49.02,49.13
North 24 Parganas,23.7,24.35
Paschim Bardhaman,26.61,26.11
Paschim Medinipur,44.96,45.38
Purba Bardhaman,41.27,40.55
Purba Medinipur,42.57,42.16
Purulia,42.77,46.53
South 24 Parganas,44.05,45.76
Uttar Dinajpur,59.6,55.88
