district,amount,kcc_disbursement_during_01_04_2019_to_30_09_2019_fresh_renewal_no,of_achievement_no,target_no
Alipurduar,24.47,4362.0,8.72,50000.0
Bankura,216.17,51786.0,36.99,140000.0
Birbhum,65.76,9689.0,5.87,165000.0
Cooch Behar,119.96,17976.0,17.98,100000.0
Dakshin Dinajpur,127.41,25253.0,22.96,110000.0
Darjeeling,3.72,1413.0,2.02,70000.0
Hooghly,154.5,40723.0,16.62,245000.0
Howrah,79.75,23552.0,33.65,70000.0
Jalpaiguri,65.81,8039.0,13.4,60000.0
Jhargram,101.99,48568.0,51.12,95000.0
Kalimpong,6.19,1146.0,5.73,20000.0
Kolkata,0.0,0.0,,0.0
Malda,179.14,51241.0,24.4,210000.0
Murshidabad,78.68,15091.0,6.04,250000.0
Nadia,311.13,38136.0,13.62,280000.0
North 24 Parganas,160.5,28745.0,11.98,240000.0
Paschim Bardhaman,25.37,23063.0,23.06,100000.0
Paschim Medinipur,379.87,150051.0,48.4,310000.0
Purba Bardhaman,669.37,115218.0,42.67,270000.0
Purba Medinipur,712.27,371556.0,128.12,290000.0
Purulia,37.91,8421.0,5.61,150000.0
South 24 Parganas,519.69,82386.0,49.93,165000.0
Uttar Dinajpur,83.0,14094.0,12.81,110000.0
